"filename", "language", "Java Properties", "Kotlinscript", "Python", "Batch", "Markdown", "XML", "Kotlin", "comment", "blank", "total"
"e:\coding_workspaces\Kotlin\AndroidScreensaver\AGENTS.md", "Markdown", 0, 0, 0, 0, 91, 0, 0, 0, 40, 131
"e:\coding_workspaces\Kotlin\AndroidScreensaver\ARCHITECTURE.md", "Markdown", 0, 0, 0, 0, 122, 0, 0, 0, 35, 157
"e:\coding_workspaces\Kotlin\AndroidScreensaver\BUILD.md", "Markdown", 0, 0, 0, 0, 106, 0, 0, 0, 54, 160
"e:\coding_workspaces\Kotlin\AndroidScreensaver\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 193, 0, 0, 0, 30, 223
"e:\coding_workspaces\Kotlin\AndroidScreensaver\README.md", "Markdown", 0, 0, 0, 0, 74, 0, 0, 0, 19, 93
"e:\coding_workspaces\Kotlin\AndroidScreensaver\TODO.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 9, 26
"e:\coding_workspaces\Kotlin\AndroidScreensaver\USER_GUIDE.md", "Markdown", 0, 0, 0, 0, 74, 0, 0, 0, 38, 112
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\build.gradle.kts", "Kotlinscript", 0, 96, 0, 0, 0, 0, 0, 28, 31, 155
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 147, 0, 26, 29, 202
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ScreensaverApplication.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 50, 10, 11, 71
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\model\FolderError.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 46, 15, 9, 70
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\model\Models.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 590, 221, 92, 903
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\AbstractPhotoRepository.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 33, 6, 7, 46
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\BaseCloudPhotoRepository.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 38, 11, 13, 62
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\DropboxPhotoRepository.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 388, 11, 57, 456
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\DropboxRepository.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 47, 35, 14, 96
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GalleryPhotoRepository.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 433, 23, 65, 521
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GoogleDrivePhotoRepository.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 340, 45, 54, 439
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GoogleDriveRepository.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 52, 40, 14, 106
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\PhotoRepository.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 17, 38, 14, 69
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\WeatherRepository.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 92, 20, 13, 125
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\di\RepositoryModule.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 78, 3, 10, 91
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\PhotoScreensaverService.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 197, 29, 41, 267
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\SlideshowManager.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 233, 57, 40, 330
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\SourceType.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 2, 0, 2, 4
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\receiver\AlarmReceiver.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 22, 1, 4, 27
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\receiver\BootReceiver.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\service\ScheduleService.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 94, 0, 17, 111
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\ScreensaverPreviewActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 130, 25, 29, 184
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\about\AboutActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 47, 11, 14, 72
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 613, 30, 86, 729
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main\SourceType.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 20, 4, 4, 28
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\DebugSettingsActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 82, 10, 14, 106
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\DecorationSettingsActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 470, 41, 41, 552
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\PhotoInfoSettingsActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 309, 40, 53, 402
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\ScheduleSettingsActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 185, 11, 28, 224
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\ScreensaverSettingsActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 17, 5, 4, 26
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\SettingsActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 28, 6, 7, 41
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\SettingsFragment.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 641, 106, 87, 834
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\VideoPlaybackSettingsActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 195, 23, 30, 248
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\slideshow\NoSourcesView.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 64, 4, 9, 77
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\slideshow\SlideshowView.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 1223, 175, 135, 1533
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\FolderAdapter.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 123, 18, 26, 167
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\FolderBrowserActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 228, 9, 34, 271
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\GalleryFolderBrowserActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 243, 16, 33, 292
