"filename", "language", "Markdown", "Kotlinscript", "XML", "Kotlin", "Python", "comment", "blank", "total"
"e:\coding_workspaces\Kotlin\AndroidScreensaver\AGENTS.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 2
"e:\coding_workspaces\Kotlin\AndroidScreensaver\ARCHITECTURE.md", "Markdown", 15, 0, 0, 0, 0, 0, 3, 18
"e:\coding_workspaces\Kotlin\AndroidScreensaver\BUILD.md", "Markdown", 10, 0, 0, 0, 0, 0, 5, 15
"e:\coding_workspaces\Kotlin\AndroidScreensaver\CHANGELOG.md", "Markdown", 39, 0, 0, 0, 0, 0, 0, 39
"e:\coding_workspaces\Kotlin\AndroidScreensaver\CODING_STANDARDS.md", "Markdown", 93, 0, 0, 0, 0, 0, 22, 115
"e:\coding_workspaces\Kotlin\AndroidScreensaver\README.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 4
"e:\coding_workspaces\Kotlin\AndroidScreensaver\TODO.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 1
"e:\coding_workspaces\Kotlin\AndroidScreensaver\USER_GUIDE.md", "Markdown", 8, 0, 0, 0, 0, 0, 4, 12
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\build.gradle.kts", "Kotlinscript", 0, 9, 0, 0, 0, 1, 2, 12
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\AndroidManifest.xml", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\model\FolderError.kt", "Kotlin", 0, 0, 0, 2, 0, 0, 0, 2
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\AbstractPhotoRepository.kt", "Kotlin", 0, 0, 0, 7, 0, 0, 1, 8
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\BaseCloudPhotoRepository.kt", "Kotlin", 0, 0, 0, 50, 0, -1, 9, 58
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\DropboxPhotoRepository.kt", "Kotlin", 0, 0, 0, -47, 0, 0, -6, -53
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\FolderBrowserActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 1, 1
