Date : 2026-06-01 01:36:23
Directory : e:\coding_workspaces\Kotlin\AndroidScreensaver
Total : 120 files,  13402 codes, 1770 comments, 2299 blanks, all 17471 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Kotlin          |         53 |      9,289 |      1,522 |      1,454 |     12,265 |
| XML             |         53 |      3,083 |        165 |        520 |      3,768 |
| Markdown        |          8 |        849 |          0 |        259 |      1,108 |
| Kotlinscript    |          3 |        129 |         30 |         35 |        194 |
| Batch           |          1 |         41 |         32 |         22 |         95 |
| Java Properties |          2 |         11 |         21 |          9 |         41 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |        120 |     13,402 |      1,770 |      2,299 |     17,471 |
| . (Files)                                                                                                                                             |         12 |        920 |         54 |        292 |      1,266 |
| app                                                                                                                                                   |        107 |     12,477 |      1,716 |      2,007 |     16,200 |
| app (Files)                                                                                                                                           |          1 |        105 |         29 |         33 |        167 |
| app\src                                                                                                                                               |        106 |     12,372 |      1,687 |      1,974 |     16,033 |
| app\src\main                                                                                                                                          |        104 |     12,183 |      1,680 |      1,939 |     15,802 |
| app\src\main (Files)                                                                                                                                  |          1 |        150 |         26 |         30 |        206 |
| app\src\main\java                                                                                                                                     |         51 |      9,100 |      1,515 |      1,419 |     12,034 |
| app\src\main\java\com                                                                                                                                 |         51 |      9,100 |      1,515 |      1,419 |     12,034 |
| app\src\main\java\com\vincentwetzel                                                                                                                   |         51 |      9,100 |      1,515 |      1,419 |     12,034 |
| app\src\main\java\com\vincentwetzel\androidscreensaver                                                                                                |         51 |      9,100 |      1,515 |      1,419 |     12,034 |
| app\src\main\java\com\vincentwetzel\androidscreensaver (Files)                                                                                        |          1 |         50 |         10 |         11 |         71 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\data                                                                                           |         13 |      2,103 |        459 |        355 |      2,917 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\data\model                                                                                     |          2 |        638 |        236 |        101 |        975 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository                                                                                |         11 |      1,465 |        223 |        254 |      1,942 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\di                                                                                             |          1 |         26 |          0 |          3 |         29 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\dream                                                                                          |          3 |        438 |         85 |         82 |        605 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\receiver                                                                                       |          2 |         35 |          1 |          7 |         43 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\service                                                                                        |          1 |         99 |          0 |         17 |        116 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui                                                                                             |         19 |      5,253 |        573 |        727 |      6,553 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui (Files)                                                                                     |          1 |        134 |         25 |         30 |        189 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\about                                                                                       |          1 |         47 |         11 |         14 |         72 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main                                                                                        |          2 |        683 |         37 |         96 |        816 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings                                                                                    |          8 |      2,091 |        242 |        277 |      2,610 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\slideshow                                                                                   |          2 |      1,315 |        182 |        148 |      1,645 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources                                                                                     |          5 |        983 |         76 |        162 |      1,221 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\utils                                                                                          |          8 |        744 |        289 |        148 |      1,181 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel                                                                                      |          3 |        352 |         98 |         69 |        519 |
| app\src\main\res                                                                                                                                      |         52 |      2,933 |        139 |        490 |      3,562 |
| app\src\main\res\drawable                                                                                                                             |         22 |        387 |          0 |         22 |        409 |
| app\src\main\res\layout                                                                                                                               |         18 |      1,899 |         87 |        363 |      2,349 |
| app\src\main\res\menu                                                                                                                                 |          2 |         24 |          0 |          7 |         31 |
| app\src\main\res\values                                                                                                                               |          6 |        339 |         40 |         33 |        412 |
| app\src\main\res\xml                                                                                                                                  |          4 |        284 |         12 |         65 |        361 |
| app\src\test                                                                                                                                          |          2 |        189 |          7 |         35 |        231 |
| app\src\test\java                                                                                                                                     |          2 |        189 |          7 |         35 |        231 |
| app\src\test\java\com                                                                                                                                 |          2 |        189 |          7 |         35 |        231 |
| app\src\test\java\com\vincentwetzel                                                                                                                   |          2 |        189 |          7 |         35 |        231 |
| app\src\test\java\com\vincentwetzel\androidscreensaver                                                                                                |          2 |        189 |          7 |         35 |        231 |
| gradle                                                                                                                                                |          1 |          5 |          0 |          0 |          5 |
| gradle\wrapper                                                                                                                                        |          1 |          5 |          0 |          0 |          5 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                              | language        | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| e:\coding_workspaces\Kotlin\AndroidScreensaver\AGENTS.md                                                                                              | Markdown        |         93 |          0 |         40 |        133 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\ARCHITECTURE.md                                                                                        | Markdown        |        137 |          0 |         38 |        175 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\BUILD.md                                                                                               | Markdown        |        116 |          0 |         59 |        175 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\CHANGELOG.md                                                                                           | Markdown        |        232 |          0 |         30 |        262 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\CODING_STANDARDS.md                                                                                    | Markdown        |         93 |          0 |         22 |        115 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\README.md                                                                                              | Markdown        |         78 |          0 |         19 |         97 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\TODO.md                                                                                                | Markdown        |         18 |          0 |          9 |         27 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\USER_GUIDE.md                                                                                          | Markdown        |         82 |          0 |         42 |        124 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\build.gradle.kts                                                                                   | Kotlinscript    |        105 |         29 |         33 |        167 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\AndroidManifest.xml                                                                       | XML             |        150 |         26 |         30 |        206 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ScreensaverApplication.kt                       | Kotlin          |         50 |         10 |         11 |         71 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\model\FolderError.kt                       | Kotlin          |         48 |         15 |          9 |         72 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\model\Models.kt                            | Kotlin          |        590 |        221 |         92 |        903 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\AbstractPhotoRepository.kt      | Kotlin          |         40 |          6 |          8 |         54 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\BaseCloudPhotoRepository.kt     | Kotlin          |         88 |         10 |         22 |        120 |
