"filename", "language", "Markdown", "Kotlin", "JSON", "Properties", "XML", "comment", "blank", "total"
"e:\coding_workspaces\Kotlin\AndroidScreensaver\ARCHITECTURE.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 4
"e:\coding_workspaces\Kotlin\AndroidScreensaver\BUILD.md", "Markdown", 14, 0, 0, 0, 0, 0, 2, 16
"e:\coding_workspaces\Kotlin\AndroidScreensaver\CHANGELOG.md", "Markdown", 31, 0, 0, 0, 0, 0, 0, 31
"e:\coding_workspaces\Kotlin\AndroidScreensaver\CODING_STANDARDS.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 1
"e:\coding_workspaces\Kotlin\AndroidScreensaver\OneDriveAuthManager.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 1, 1
"e:\coding_workspaces\Kotlin\AndroidScreensaver\TODO.md", "Markdown", 3, 0, 0, 0, 0, 0, 1, 4
"e:\coding_workspaces\Kotlin\AndroidScreensaver\USER_GUIDE.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 2
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\build.gradle.kts", "Kotlin", 0, 4, 0, 0, 0, 3, 3, 10
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 17, 2, 2, 21
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ScreensaverApplication.kt", "Kotlin", 0, 4, 0, 0, 0, -4, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\auth\OneDriveAuthManager.kt", "Kotlin", 0, 195, 0, 0, 0, 4, 30, 229
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\model\FolderError.kt", "Kotlin", 0, 15, 0, 0, 0, -10, 0, 5
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\model\Models.kt", "Kotlin", 0, 199, 0, 0, 0, -197, 0, 2
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\AbstractPhotoRepository.kt", "Kotlin", 0, 4, 0, 0, 0, -4, 0, 0
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\BaseCloudPhotoRepository.kt", "Kotlin", 0, 7, 0, 0, 0, -7, 0, 0
