Date : 2026-07-01 00:06:27
Directory : e:\coding_workspaces\Kotlin\AndroidScreensaver
Total : 63 files,  2139 codes, -966 comments, 149 blanks, all 1322 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Kotlin     |         53 |      2,037 |       -969 |        141 |      1,209 |
| Markdown   |          6 |         55 |          0 |          3 |         58 |
| XML        |          2 |         31 |          2 |          4 |         37 |
| JSON       |          1 |         16 |          0 |          0 |         16 |
| Properties |          1 |          0 |          1 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                   |         63 |      2,139 |       -966 |        149 |      1,322 |
| . (Files)                                                                                                                                           |          9 |         74 |          1 |          5 |         80 |
| app                                                                                                                                                 |         53 |      2,065 |       -968 |        143 |      1,240 |
| app (Files)                                                                                                                                         |          1 |          4 |          3 |          3 |         10 |
| app\src                                                                                                                                             |         52 |      2,061 |       -971 |        140 |      1,230 |
| app\src\main                                                                                                                                        |         50 |      2,054 |       -964 |        140 |      1,230 |
| app\src\main (Files)                                                                                                                                |          1 |         17 |          2 |          2 |         21 |
| app\src\main\java                                                                                                                                   |         48 |      2,023 |       -966 |        136 |      1,193 |
| app\src\main\java\com                                                                                                                               |         48 |      2,023 |       -966 |        136 |      1,193 |
| app\src\main\java\com\vincentwetzel                                                                                                                 |         48 |      2,023 |       -966 |        136 |      1,193 |
| app\src\main\java\com\vincentwetzel\androidscreensaver                                                                                              |         48 |      2,023 |       -966 |        136 |      1,193 |
| app\src\main\java\com\vincentwetzel\androidscreensaver (Files)                                                                                      |          1 |          4 |         -4 |          0 |          0 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\auth                                                                                         |          1 |        195 |          4 |         30 |        229 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\data                                                                                         |         12 |        764 |       -398 |         54 |        420 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\data\model                                                                                   |          2 |        214 |       -207 |          0 |          7 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository                                                                              |         10 |        550 |       -191 |         54 |        413 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\di                                                                                           |          1 |         21 |          0 |          3 |         24 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\dream                                                                                        |          2 |         92 |        -49 |          3 |         46 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui                                                                                           |         20 |        613 |       -197 |         60 |        476 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui (Files)                                                                                   |          1 |         11 |        -11 |          0 |          0 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\about                                                                                     |          1 |          4 |         -4 |          0 |          0 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main                                                                                      |          2 |         73 |        -10 |          4 |         67 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings                                                                                  |          8 |        193 |        -65 |         24 |        152 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\slideshow                                                                                 |          2 |         97 |        -81 |          2 |         18 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources                                                                                   |          6 |        235 |        -26 |         30 |        239 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\utils                                                                                        |          8 |        250 |       -238 |        -14 |         -2 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel                                                                                    |          3 |         84 |        -84 |          0 |          0 |
| app\src\main\res                                                                                                                                    |          1 |         14 |          0 |          2 |         16 |
| app\src\main\res\xml                                                                                                                                |          1 |         14 |          0 |          2 |         16 |
| app\src\test                                                                                                                                        |          2 |          7 |         -7 |          0 |          0 |
| app\src\test\java                                                                                                                                   |          2 |          7 |         -7 |          0 |          0 |
| app\src\test\java\com                                                                                                                               |          2 |          7 |         -7 |          0 |          0 |
| app\src\test\java\com\vincentwetzel                                                                                                                 |          2 |          7 |         -7 |          0 |          0 |
| app\src\test\java\com\vincentwetzel\androidscreensaver                                                                                              |          2 |          7 |         -7 |          0 |          0 |
| gradle                                                                                                                                              |          1 |          0 |          1 |          1 |          2 |
| gradle\wrapper                                                                                                                                      |          1 |          0 |          1 |          1 |          2 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                            | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\coding_workspaces\Kotlin\AndroidScreensaver\ARCHITECTURE.md                                                                                      | Markdown   |          4 |          0 |          0 |          4 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\BUILD.md                                                                                             | Markdown   |         14 |          0 |          2 |         16 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\CHANGELOG.md                                                                                         | Markdown   |         31 |          0 |          0 |         31 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\CODING_STANDARDS.md                                                                                  | Markdown   |          1 |          0 |          0 |          1 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\OneDriveAuthManager.kt                                                                               | Kotlin     |          0 |          0 |          1 |          1 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\TODO.md                                                                                              | Markdown   |          3 |          0 |          1 |          4 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\USER_GUIDE.md                                                                                        | Markdown   |          2 |          0 |          0 |          2 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\build.gradle.kts                                                                                 | Kotlin     |          4 |          3 |          3 |         10 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\AndroidManifest.xml                                                                     | XML        |         17 |          2 |          2 |         21 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ScreensaverApplication.kt                     | Kotlin     |          4 |         -4 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\auth\OneDriveAuthManager.kt                   | Kotlin     |        195 |          4 |         30 |        229 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\model\FolderError.kt                     | Kotlin     |         15 |        -10 |          0 |          5 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\model\Models.kt                          | Kotlin     |        199 |       -197 |          0 |          2 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\AbstractPhotoRepository.kt    | Kotlin     |          4 |         -4 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\BaseCloudPhotoRepository.kt   | Kotlin     |          7 |         -7 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\DropboxPhotoRepository.kt     | Kotlin     |          4 |         -1 |          0 |          3 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\DropboxRepository.kt          | Kotlin     |         35 |        -35 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GalleryPhotoRepository.kt     | Kotlin     |         13 |        -13 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GoogleDrivePhotoRepository.kt | Kotlin     |         35 |        -33 |          0 |          2 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GoogleDriveRepository.kt      | Kotlin     |         47 |        -41 |          1 |          7 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\OneDrivePhotoRepository.kt    | Kotlin     |        346 |          1 |         53 |        400 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\PhotoRepository.kt            | Kotlin     |         38 |        -38 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\WeatherRepository.kt          | Kotlin     |         21 |        -20 |          0 |          1 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\di\NetworkModule.kt                           | Kotlin     |         21 |          0 |          3 |         24 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\PhotoScreensaverService.kt              | Kotlin     |         48 |        -10 |          3 |         41 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\SlideshowManager.kt                     | Kotlin     |         44 |        -39 |          0 |          5 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\ScreensaverPreviewActivity.kt              | Kotlin     |         11 |        -11 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\about\AboutActivity.kt                     | Kotlin     |          4 |         -4 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main\MainActivity.kt                       | Kotlin     |         69 |         -6 |          4 |         67 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main\SourceType.kt                         | Kotlin     |          4 |         -4 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\DebugSettingsActivity.kt          | Kotlin     |         41 |         -3 |          4 |         42 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\DecorationSettingsActivity.kt     | Kotlin     |         43 |         -9 |          6 |         40 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\PhotoInfoSettingsActivity.kt      | Kotlin     |         29 |         -2 |          5 |         32 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\ScheduleSettingsActivity.kt       | Kotlin     |         13 |         -5 |          1 |          9 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\ScreensaverSettingsActivity.kt    | Kotlin     |          4 |         -4 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\SettingsActivity.kt               | Kotlin     |          4 |         -4 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\SettingsFragment.kt               | Kotlin     |         78 |        -31 |         11 |         58 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\VideoPlaybackSettingsActivity.kt  | Kotlin     |        -19 |         -7 |         -3 |        -29 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\slideshow\NoSourcesView.kt                 | Kotlin     |          3 |         -3 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\slideshow\SlideshowView.kt                 | Kotlin     |         94 |        -78 |          2 |         18 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\DropboxAuthActivity.kt             | Kotlin     |         47 |         -4 |          7 |         50 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\FolderAdapter.kt                   | Kotlin     |         15 |        -12 |          1 |          4 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\FolderBrowserActivity.kt           | Kotlin     |          3 |         -3 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\GalleryFolderBrowserActivity.kt    | Kotlin     |         33 |         -7 |          3 |         29 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\GoogleDriveAuthActivity.kt         | Kotlin     |         82 |         -4 |          8 |         86 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\OneDriveAuthActivity.kt            | Kotlin     |         55 |          4 |         11 |         70 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\BaseAccountManager.kt                   | Kotlin     |         25 |        -25 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\DropboxAccountManager.kt                | Kotlin     |         44 |        -35 |          0 |          9 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\DropboxOAuthConfig.kt                   | Kotlin     |         14 |        -14 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\GoogleAccountManager.kt                 | Kotlin     |         11 |        -53 |         -6 |        -48 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\GoogleOAuthConfig.kt                    | Kotlin     |        -12 |        -34 |         -8 |        -54 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\SecureLinks.kt                          | Kotlin     |         11 |        -11 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\SettingsManager.kt                      | Kotlin     |        139 |        -48 |          0 |         91 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\VersionUtils.kt                         | Kotlin     |         18 |        -18 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\CloudFolderViewModel.kt             | Kotlin     |         34 |        -34 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\GalleryViewModel.kt                 | Kotlin     |         31 |        -31 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\MainViewModel.kt                    | Kotlin     |         19 |        -19 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\settings_main.xml                                                               | XML        |         14 |          0 |          2 |         16 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\test\java\com\vincentwetzel\androidscreensaver\DataModelUnitTest.kt                          | Kotlin     |          3 |         -3 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\test\java\com\vincentwetzel\androidscreensaver\ViewModelUnitTest.kt                          | Kotlin     |          4 |         -4 |          0 |          0 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\gradle\wrapper\gradle-wrapper.properties                                                             | Properties |          0 |          1 |          1 |          2 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\msal_auth_config.json                                                                                | JSON       |         16 |          0 |          0 |         16 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\settings.gradle.kts                                                                                  | Kotlin     |          3 |          1 |          1 |          5 |
| Total                                                                                                                                               |            |      2,139 |       -966 |        149 |      1,322 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
