"filename", "language", "Markdown", "Kotlin", "JSON", "Properties", "Batch", "XML", "comment", "blank", "total"
"e:\coding_workspaces\Kotlin\AndroidScreensaver\AGENTS.md", "Markdown", 93, 0, 0, 0, 0, 0, 0, 40, 133
"e:\coding_workspaces\Kotlin\AndroidScreensaver\ARCHITECTURE.md", "Markdown", 141, 0, 0, 0, 0, 0, 0, 38, 179
"e:\coding_workspaces\Kotlin\AndroidScreensaver\BUILD.md", "Markdown", 130, 0, 0, 0, 0, 0, 0, 61, 191
"e:\coding_workspaces\Kotlin\AndroidScreensaver\CHANGELOG.md", "Markdown", 263, 0, 0, 0, 0, 0, 0, 30, 293
"e:\coding_workspaces\Kotlin\AndroidScreensaver\CODING_STANDARDS.md", "Markdown", 94, 0, 0, 0, 0, 0, 0, 22, 116
"e:\coding_workspaces\Kotlin\AndroidScreensaver\OneDriveAuthManager.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\coding_workspaces\Kotlin\AndroidScreensaver\README.md", "Markdown", 78, 0, 0, 0, 0, 0, 0, 19, 97
"e:\coding_workspaces\Kotlin\AndroidScreensaver\TODO.md", "Markdown", 21, 0, 0, 0, 0, 0, 0, 10, 31
"e:\coding_workspaces\Kotlin\AndroidScreensaver\USER_GUIDE.md", "Markdown", 84, 0, 0, 0, 0, 0, 0, 42, 126
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\build.gradle.kts", "Kotlin", 0, 109, 0, 0, 0, 0, 32, 36, 177
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 167, 28, 32, 227
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ScreensaverApplication.kt", "Kotlin", 0, 54, 0, 0, 0, 0, 6, 11, 71
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\auth\OneDriveAuthManager.kt", "Kotlin", 0, 195, 0, 0, 0, 0, 4, 30, 229
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\model\FolderError.kt", "Kotlin", 0, 63, 0, 0, 0, 0, 5, 9, 77
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\model\Models.kt", "Kotlin", 0, 789, 0, 0, 0, 0, 24, 92, 905
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\AbstractPhotoRepository.kt", "Kotlin", 0, 44, 0, 0, 0, 0, 2, 8, 54
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\BaseCloudPhotoRepository.kt", "Kotlin", 0, 95, 0, 0, 0, 0, 3, 22, 120
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\DropboxPhotoRepository.kt", "Kotlin", 0, 345, 0, 0, 0, 0, 10, 51, 406
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\DropboxRepository.kt", "Kotlin", 0, 82, 0, 0, 0, 0, 0, 14, 96
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\FolderBrowserActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GalleryFolderBrowserActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GalleryPhotoRepository.kt", "Kotlin", 0, 461, 0, 0, 0, 0, 10, 66, 537
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GoogleDrivePhotoRepository.kt", "Kotlin", 0, 372, 0, 0, 0, 0, 4, 49, 425
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GoogleDriveRepository.kt", "Kotlin", 0, 102, 0, 0, 0, 0, 2, 16, 120
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\OneDrivePhotoRepository.kt", "Kotlin", 0, 346, 0, 0, 0, 0, 1, 53, 400
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\PhotoRepository.kt", "Kotlin", 0, 55, 0, 0, 0, 0, 0, 14, 69
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\WeatherRepository.kt", "Kotlin", 0, 113, 0, 0, 0, 0, 0, 13, 126
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\di\NetworkModule.kt", "Kotlin", 0, 21, 0, 0, 0, 0, 0, 3, 24
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\di\RepositoryModule.kt", "Kotlin", 0, 26, 0, 0, 0, 0, 0, 3, 29
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\PhotoScreensaverService.kt", "Kotlin", 0, 254, 0, 0, 0, 0, 19, 44, 317
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\SlideshowManager.kt", "Kotlin", 0, 274, 0, 0, 0, 0, 17, 39, 330
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\SourceType.kt", "Kotlin", 0, 2, 0, 0, 0, 0, 0, 2, 4
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\receiver\AlarmReceiver.kt", "Kotlin", 0, 22, 0, 0, 0, 0, 1, 4, 27
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\receiver\BootReceiver.kt", "Kotlin", 0, 13, 0, 0, 0, 0, 0, 3, 16
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\service\ScheduleService.kt", "Kotlin", 0, 99, 0, 0, 0, 0, 0, 17, 116
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\ScreensaverPreviewActivity.kt", "Kotlin", 0, 145, 0, 0, 0, 0, 14, 30, 189
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\about\AboutActivity.kt", "Kotlin", 0, 51, 0, 0, 0, 0, 7, 14, 72
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main\MainActivity.kt", "Kotlin", 0, 736, 0, 0, 0, 0, 27, 96, 859
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main\SourceType.kt", "Kotlin", 0, 20, 0, 0, 0, 0, 0, 4, 24
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\DebugSettingsActivity.kt", "Kotlin", 0, 155, 0, 0, 0, 0, 7, 20, 182
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\DecorationSettingsActivity.kt", "Kotlin", 0, 538, 0, 0, 0, 0, 31, 54, 623
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\PhotoInfoSettingsActivity.kt", "Kotlin", 0, 350, 0, 0, 0, 0, 38, 59, 447
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\ScheduleSettingsActivity.kt", "Kotlin", 0, 227, 0, 0, 0, 0, 6, 30, 263
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\ScreensaverSettingsActivity.kt", "Kotlin", 0, 21, 0, 0, 0, 0, 1, 4, 26
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\SettingsActivity.kt", "Kotlin", 0, 32, 0, 0, 0, 0, 2, 7, 41
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\SettingsFragment.kt", "Kotlin", 0, 776, 0, 0, 0, 0, 76, 99, 951
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings\VideoPlaybackSettingsActivity.kt", "Kotlin", 0, 185, 0, 0, 0, 0, 16, 28, 229
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\slideshow\NoSourcesView.kt", "Kotlin", 0, 67, 0, 0, 0, 0, 1, 9, 77
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\slideshow\SlideshowView.kt", "Kotlin", 0, 1345, 0, 0, 0, 0, 100, 141, 1586
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\DropboxAuthActivity.kt", "Kotlin", 0, 159, 0, 0, 0, 0, 8, 30, 197
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\FolderAdapter.kt", "Kotlin", 0, 141, 0, 0, 0, 0, 6, 27, 174
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\FolderBrowserActivity.kt", "Kotlin", 0, 361, 0, 0, 0, 0, 15, 54, 430
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\GalleryFolderBrowserActivity.kt", "Kotlin", 0, 287, 0, 0, 0, 0, 9, 38, 334
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\GoogleDriveAuthActivity.kt", "Kotlin", 0, 215, 0, 0, 0, 0, 8, 32, 255
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\OneDriveAuthActivity.kt", "Kotlin", 0, 55, 0, 0, 0, 0, 4, 11, 70
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\BaseAccountManager.kt", "Kotlin", 0, 46, 0, 0, 0, 0, 0, 10, 56
