Date : 2026-07-01 00:06:27
Directory : e:\coding_workspaces\Kotlin\AndroidScreensaver
Total : 125 files,  15541 codes, 804 comments, 2448 blanks, all 18793 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Kotlin     |         60 |     11,455 |        583 |      1,630 |     13,668 |
| XML        |         53 |      3,114 |        167 |        524 |      3,805 |
| Markdown   |          8 |        904 |          0 |        262 |      1,166 |
| Batch      |          1 |         41 |         32 |         22 |         95 |
| JSON       |          1 |         16 |          0 |          0 |         16 |
| Properties |          2 |         11 |         22 |         10 |         43 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |        125 |     15,541 |        804 |      2,448 |     18,793 |
| . (Files)                                                                                                                                             |         14 |        994 |         55 |        297 |      1,346 |
| app                                                                                                                                                   |        110 |     14,542 |        748 |      2,150 |     17,440 |
| app (Files)                                                                                                                                           |          1 |        109 |         32 |         36 |        177 |
| app\src                                                                                                                                               |        109 |     14,433 |        716 |      2,114 |     17,263 |
| app\src\main                                                                                                                                          |        107 |     14,237 |        716 |      2,079 |     17,032 |
| app\src\main (Files)                                                                                                                                  |          1 |        167 |         28 |         32 |        227 |
| app\src\main\java                                                                                                                                     |         54 |     11,123 |        549 |      1,555 |     13,227 |
| app\src\main\java\com                                                                                                                                 |         54 |     11,123 |        549 |      1,555 |     13,227 |
| app\src\main\java\com\vincentwetzel                                                                                                                   |         54 |     11,123 |        549 |      1,555 |     13,227 |
| app\src\main\java\com\vincentwetzel\androidscreensaver                                                                                                |         54 |     11,123 |        549 |      1,555 |     13,227 |
| app\src\main\java\com\vincentwetzel\androidscreensaver (Files)                                                                                        |          1 |         54 |          6 |         11 |         71 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\auth                                                                                           |          1 |        195 |          4 |         30 |        229 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\data                                                                                           |         14 |      2,867 |         61 |        409 |      3,337 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\data\model                                                                                     |          2 |        852 |         29 |        101 |        982 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository                                                                                |         12 |      2,015 |         32 |        308 |      2,355 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\di                                                                                             |          2 |         47 |          0 |          6 |         53 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\dream                                                                                          |          3 |        530 |         36 |         85 |        651 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\receiver                                                                                       |          2 |         35 |          1 |          7 |         43 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\service                                                                                        |          1 |         99 |          0 |         17 |        116 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui                                                                                             |         20 |      5,866 |        376 |        787 |      7,029 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui (Files)                                                                                     |          1 |        145 |         14 |         30 |        189 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\about                                                                                       |          1 |         51 |          7 |         14 |         72 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main                                                                                        |          2 |        756 |         27 |        100 |        883 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\settings                                                                                    |          8 |      2,284 |        177 |        301 |      2,762 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\slideshow                                                                                   |          2 |      1,412 |        101 |        150 |      1,663 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources                                                                                     |          6 |      1,218 |         50 |        192 |      1,460 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\utils                                                                                          |          7 |        994 |         51 |        134 |      1,179 |
| app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel                                                                                      |          3 |        436 |         14 |         69 |        519 |
| app\src\main\res                                                                                                                                      |         52 |      2,947 |        139 |        492 |      3,578 |
| app\src\main\res\drawable                                                                                                                             |         22 |        387 |          0 |         22 |        409 |
| app\src\main\res\layout                                                                                                                               |         18 |      1,899 |         87 |        363 |      2,349 |
| app\src\main\res\menu                                                                                                                                 |          2 |         24 |          0 |          7 |         31 |
| app\src\main\res\values                                                                                                                               |          6 |        339 |         40 |         33 |        412 |
| app\src\main\res\xml                                                                                                                                  |          4 |        298 |         12 |         67 |        377 |
| app\src\test                                                                                                                                          |          2 |        196 |          0 |         35 |        231 |
| app\src\test\java                                                                                                                                     |          2 |        196 |          0 |         35 |        231 |
| app\src\test\java\com                                                                                                                                 |          2 |        196 |          0 |         35 |        231 |
| app\src\test\java\com\vincentwetzel                                                                                                                   |          2 |        196 |          0 |         35 |        231 |
| app\src\test\java\com\vincentwetzel\androidscreensaver                                                                                                |          2 |        196 |          0 |         35 |        231 |
| gradle                                                                                                                                                |          1 |          5 |          1 |          1 |          7 |
| gradle\wrapper                                                                                                                                        |          1 |          5 |          1 |          1 |          7 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                              | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\coding_workspaces\Kotlin\AndroidScreensaver\AGENTS.md                                                                                              | Markdown   |         93 |          0 |         40 |        133 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\ARCHITECTURE.md                                                                                        | Markdown   |        141 |          0 |         38 |        179 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\BUILD.md                                                                                               | Markdown   |        130 |          0 |         61 |        191 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\CHANGELOG.md                                                                                           | Markdown   |        263 |          0 |         30 |        293 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\CODING_STANDARDS.md                                                                                    | Markdown   |         94 |          0 |         22 |        116 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\OneDriveAuthManager.kt                                                                                 | Kotlin     |          0 |          0 |          1 |          1 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\README.md                                                                                              | Markdown   |         78 |          0 |         19 |         97 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\TODO.md                                                                                                | Markdown   |         21 |          0 |         10 |         31 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\USER_GUIDE.md                                                                                          | Markdown   |         84 |          0 |         42 |        126 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\build.gradle.kts                                                                                   | Kotlin     |        109 |         32 |         36 |        177 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\AndroidManifest.xml                                                                       | XML        |        167 |         28 |         32 |        227 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ScreensaverApplication.kt                       | Kotlin     |         54 |          6 |         11 |         71 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\auth\OneDriveAuthManager.kt                     | Kotlin     |        195 |          4 |         30 |        229 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\model\FolderError.kt                       | Kotlin     |         63 |          5 |          9 |         77 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\model\Models.kt                            | Kotlin     |        789 |         24 |         92 |        905 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\AbstractPhotoRepository.kt      | Kotlin     |         44 |          2 |          8 |         54 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\BaseCloudPhotoRepository.kt     | Kotlin     |         95 |          3 |         22 |        120 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\DropboxPhotoRepository.kt       | Kotlin     |        345 |         10 |         51 |        406 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\DropboxRepository.kt            | Kotlin     |         82 |          0 |         14 |         96 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\FolderBrowserActivity.kt        | Kotlin     |          0 |          0 |          1 |          1 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GalleryFolderBrowserActivity.kt | Kotlin     |          0 |          0 |          1 |          1 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GalleryPhotoRepository.kt       | Kotlin     |        461 |         10 |         66 |        537 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GoogleDrivePhotoRepository.kt   | Kotlin     |        372 |          4 |         49 |        425 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GoogleDriveRepository.kt        | Kotlin     |        102 |          2 |         16 |        120 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\OneDrivePhotoRepository.kt      | Kotlin     |        346 |          1 |         53 |        400 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\PhotoRepository.kt              | Kotlin     |         55 |          0 |         14 |         69 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\WeatherRepository.kt            | Kotlin     |        113 |          0 |         13 |        126 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\di\NetworkModule.kt                             | Kotlin     |         21 |          0 |          3 |         24 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\di\RepositoryModule.kt                          | Kotlin     |         26 |          0 |          3 |         29 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\PhotoScreensaverService.kt                | Kotlin     |        254 |         19 |         44 |        317 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\SlideshowManager.kt                       | Kotlin     |        274 |         17 |         39 |        330 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\SourceType.kt                             | Kotlin     |          2 |          0 |          2 |          4 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\receiver\AlarmReceiver.kt                       | Kotlin     |         22 |          1 |          4 |         27 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\receiver\BootReceiver.kt                        | Kotlin     |         13 |          0 |          3 |         16 |
